symbol,Keywords
PSIX,irrigation industrial non-diesel stationary electricity diversified off-highway industrial construction non-emission-certified agricultural distributor International alternative emission-certified low-emission particular 
COR,Francisco business Exchange Corporation cloud-enabled Virginia investment information technology connectivity construction controlling acquisition ownership December portfolio self-administered integrated self-managed 
BV,customer Bazaarvoice geographical marketing consumer-generated syndicate Americas platform influencing understand advertising behavior software-as-a-service 
ENS,industrial manufacturing after-market Company warehousing electronic equipment locomotive equipment Australia products distributor geographic handling customer-support manufacturer 
ALNY,development infectious therapeutics Cardio-Metabolic metabolic Patisiran ribonucleic interference Infectious liver-expressed commercialization investigational biopharmaceutical Strategic Therapeutic cardiovascular -conjugate beginning N-acetylgalactosamine discovery 
PCG,customers industrial electricity transmission electricity Corporation December commercial kilovolt California residential agricultural distribution operating subsidiary 
FOMX,development moderate-to-severe Papulopustular clinical-stage pharmaceutical foam-based antibiotic minocycline moderate-to-severe commercialization formulation minocycline technology antibiotic doxycycline 
MTH,warranty customer financial Colorado business move-up Corporation first-time December single-family insurance California marketing closing/settlement services homebuilding Carolina 
SPN.V,mobile-based Promotions SnippSites Programs Processing SnippRewards SnippLoyalty purchase-related marketing SnippRebates international technology SnippCheck Interactive 
KEX,high-speed Mississippi Transportation compression Corporation component reduction provider operator transportation medium-speed Intracoastal Waterway replacement 
AJG,consulting management not-for-profit third-party administration employer-provided self-insure retirement Gallagher industrial international settlement property/casualty middle-market commercial 
KBAL,collaborative classic Kimball International entertainment healthcare workplace hospitality portfolio furniture Furniture 
ACAD,development candidate multi-center double-blind schizophrenia outpatient Parkinson commercialization ENHANCE-1 Alzheimer biopharmaceutical psychosis placebo-controlled NUPLAZID Psychosis pimavanserin 
CECO,educational programs Technical University commercial-grade Education Corporation Transitional programs career-focused on-ground associate InterContinental University Culinary bachelor career-oriented education culinary 
REGN,development ARCALYST inflammatory ziv-aflibercept sarilumab alirocumab Subcutaneous infectious Intravenous Regeneron biopharmaceutical cholesterol Trap-based rheumatoid low-density lipoprotein monoclonal 
NNBR,manufacture Precision Components high-precision difficult-to-manufacture capability engineering production electrical aerospace automotive Precision Engineered diversified industrial manufacturer 
GILD,Letairis Deficiency Syndrome inflammation/respiratory Stribild Complera/Eviplera research-based biopharmaceutical hematology/oncology investigational inflammatory HIV/AIDS December portfolio respiratory Immunodeficiency Virus/Acquired cardiovascular 
CNAT,development pharmaceutical progression developing apoptosis commercialization inflammation treatment inhibiting biotechnology inhibitor pan-caspase 
RGR,manufacture investment castings industry castings commercial sporting revolvers injection independent wholesale replacement 
VSH,capacitor Intertechnology Optoelectronic Components light-emitting Capacitors low-voltage TrenchFET thyristors/silicon-controlled protection high-voltage solid-state 7-segment manufacturer 
CUBI,Customers Portsmouth financial nationwide Philadelphia Hampshire operation traditional Providence Rockingham Massachusetts Southeastern Pennsylvania subsidiary Westchester liquidity Melville 
SPR,development maintenance non-original equipment marketing commercial equipment manufacturer miscellaneous structural aircraft production components Propulsion structural 
JBL,management providing engineering electronic manufacturing healthcare engineering Diversified Manufacturing equipment Electronics Manufacturing production aerospace automotive industrial technologies manufacturing infrastructure leveraging information information technology 
MPC,operations infrastructure transportation convenience products marketing partnership Speedway Midstream Southeast Refining Petroleum Corporation 
CBL,properties Associated mixed-use investment non-controlling southeastern controlling self-administered mid-western Properties self-managed 
BDSI,fentanyl management BUNAVAIL BioDelivery specialty pharmaceutical Administration application BELBUCA ONSOLIS International buprenorphine technology BioErodible MucoAdhesive 
SXC,Logistics operations Terminal Vitoria recovery producer Domestic SunCoke Haverhill Middletown December ArcelorMittal Terminals cokemaking cokemaking facility Kanawha Corporate handling 
KEM,board-mount capacitors Electrolytic Business Corporation original equipment Capacitors capacitors tantalum production chassis-mount pin-through-hole board-mount electrolytic electronic manufacturer 
ARRS,television infrastructure entertainment technical telephone refurbishment Equipment Infrastructure broadcast satellite International distribution Products-Video Software 
CVA,operations conversion infrastructure facility electricity disposal non-ferrous Outside production operating infrastructure business Holding Corporation energy-from-waste renewable 
JAZZ,intrathecal management excessive refractory veno-occlusive ziconotide intolerant sleepiness defibrotide infusion Defitelio narcolepsy biopharmaceutical treatment adjunctive lymphoblastic portfolio cataplexy 
DAN,electronic Corporation Commercial inflation products Off-Highway Driveline Incorporated technology driveline thermal-management Driveline Technologies 
MBG.V,resource identifying possible exploration Canada-based shareholder precious Argentina acquisition 
CASM,non-invasive monitoring cerebral quantitative measurement FORE-SIGHT Monitoring technology oxygenation 
HA,Scheduled Australia transportation non-stop Hawaiian December Company aircraft Pacific flights amongst Neighbor International gateway 
FMC,pharmaceutical industrial agricultural Corporation professional diversified functional protection portfolio December Agricultural nutritional ingredients 
LNN,manufacture Irrigation management Greenfield infrastructure Corporation irrigation specialty equipment Infrastructure chemical injection marketing agricultural GrowSmart 
ASCMA,television monitoring do-it-yourself business technical LiveWatch pre-configures Monitronics International go-to-market strategy direct-to-consumer provider LiveWatch Security 
