Ticker&Date, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
CRNT20170909,0.2332,2.2046,2.08999991417,1.9714,0.508575961275,0.0189,-0.0827,-0.0638,0.00904306257233,42.7051,2.3692,2.088,2.078,51.1833,54.5454,53.0302,1504877400
MXC20170909,1.0617,5.3092,4.73000001907,4.2475,0.454459846542,-0.0099,-0.0895,-0.0994,-0.00209302324737,47.3793,4.825,4.7783,4.7,51.1301,63.2249,56.2101,1504877400
NBHC20170909,2.4826,33.2303,30.7099990845,30.7477,-0.0151860611969,-0.152,-0.403,-0.555,-0.00494952798865,31.98,32.927,31.989,31.216,54.7388,18.3267,7.8038,1504877400
RGEN20170909,4.4458,44.1589,43.4500007629,39.7131,0.840546305038,0.1566,0.3615,0.5181,0.00360414262947,60.8262,41.657,41.936,43.17,77.8121,87.8173,82.2136,1504877400
XRM20170909,0.289,6.1955,5.90999984741,5.9065,0.0121101986578,0.0318,-0.2007,-0.169,0.00538071079882,34.5041,6.7395,6.051,5.978,50.958,22.7272,37.8788,1504877400
CCRN20170909,1.0396,12.9368,12.4899997711,11.8972,0.570219094958,0.0496,0.0127,0.0623,0.00397117701433,51.6738,12.4205,12.417,12.664,61.8389,60.3053,77.8222,1504877400
ANIK20170909,3.8458,55.1429,55.6399993896,51.2971,1.12925773302,0.1214,0.9695,1.0909,0.00218188356096,76.5064,50.3175,53.22,54.54,74.1589,97.6744,92.3064,1504877400
DENN20170909,1.1002,12.4591,11.4099998474,11.3589,0.0464459620179,-0.0694,-0.0154,-0.0847,-0.00608238395514,37.8139,11.7307,11.909,11.65,25.001,10.3092,10.1911,1504877400
PRCP20170909,0.6674,7.6137,7.21999979019,6.9463,0.410098576853,0.0005,0.0214,0.0218,6.92520795747e-05,46.6075,7.3343,7.28,7.35,64.1506,35.8974,42.1653,1504877400
SPLK20170909,14.7636,70.4028,67.1800003052,55.6392,0.781706379553,0.5234,1.7512,2.2746,0.00779100919355,67.5048,60.267,63.021,67.664,77.5704,82.9069,91.3795,1504877400
SD20170909,1.603,18.464,18.0499992371,16.861,0.74173377234,0.1149,-0.1542,-0.0394,0.00636565123859,51.5852,17.962,17.6625,18.11,53.4712,75.3316,87.0027,1504877400
POWI20170909,7.0926,74.4488,73.9499969482,67.3562,0.929672750224,0.4529,0.0321,0.4849,0.00612440863678,60.3592,72.1003,70.9025,73.17,74.9546,90.9091,87.0406,1504877400
VIPS20170909,3.3404,11.3327,9.21000003815,7.9923,0.364537192596,0.0379,-0.6035,-0.5655,0.00411509227394,33.2738,10.876,9.6625,9.154,31.6259,42.6087,33.0931,1504877400
WEX20170909,8.4002,109.7741,108.309997559,101.3739,0.82570624016,0.3367,0.139,0.4757,0.00310866962967,57.2198,106.599,105.574,107.372,80.318,78.2841,65.7869,1504877400
PODD20170909,7.3446,60.3038,58.6800003052,52.9592,0.778912439776,-0.0407,1.614,1.5733,-0.000693592361764,67.1294,52.6877,56.6315,58.276,75.6794,75.1445,82.9921,1504877400
SRPT20170909,12.1746,45.0218,43.0099983215,32.8472,0.834754186711,0.7686,0.8929,1.6615,0.017870263427,61.174,37.3145,38.9345,43.486,69.7519,61.0236,77.0079,1504877400
AEO20170909,2.6394,13.1682,12.2299995422,10.5288,0.64454025242,0.0536,0.169,0.2226,0.00438266574049,53.3499,11.7543,11.8485,12.426,64.1113,76.9231,87.1695,1504877400
RDC20170909,1.5358,10.4404,9.97000026703,8.9046,0.693710292375,0.1242,-0.2494,-0.1253,0.0124573717827,47.5974,10.5587,9.6725,10.156,71.4028,62.9139,72.8477,1504877400
EXP20170909,20.9612,103.4251,103.319999695,82.4639,0.994985959526,1.4769,1.153,2.6299,0.0142944251293,73.4389,92.6167,92.9445,100.666,79.3927,95.133,92.0323,1504877400
RPR.V20170909,0.01,0.0825,0.0750000029802,0.0725,0.250000298023,0.0001,-0.003,-0.0029,0.00133333328035,37.2933,0.0871,0.0775,0.075,14.6029,50.0,50.0,1504877400
CBZ20170909,0.6878,15.1514,14.8000001907,14.4636,0.489095944657,0.0199,-0.0122,0.0077,0.00134459457727,48.2624,14.9533,14.8075,14.94,63.7338,38.8889,42.5926,1504877400
EPZM20170909,7.0136,19.3668,18.6499996185,12.3532,0.897798508402,0.2423,0.9751,1.2174,0.0129919573703,82.05,14.505,15.86,17.86,87.2031,97.9798,95.2777,1504877400
OA20170909,7.1186,111.4028,107.900001526,104.2842,0.507937168246,-0.2063,1.4467,1.2404,-0.00191195548733,53.6547,103.773,107.8435,108.912,57.4917,47.9849,47.9849,1504877400
COH20170909,8.0982,45.8836,40.4300003052,37.7854,0.326566435155,0.0722,-1.3402,-1.268,0.00178580260834,32.5562,45.493,41.8345,41.19,49.9993,13.9303,35.8209,1504877400
UFPI20170909,14.5732,90.6531,88.8899993896,76.0799,0.879017606953,0.9783,0.3735,1.3518,0.0110057375039,68.7858,85.408,83.3665,88.472,86.3736,92.2935,93.3742,1504877400
FNHC20170909,6.0728,17.8524,12.0500001907,11.7796,0.0445264442654,-0.4389,-0.4695,-0.9084,-0.036423235938,32.1872,15.4975,14.816,12.644,31.2696,37.2742,13.0178,1504877400
ADSK20170909,9.1122,116.1011,114.440002441,106.9889,0.817706200633,0.2176,1.2688,1.4865,0.0019014330248,60.3421,108.4825,111.545,113.952,62.0414,53.4331,53.5899,1504877400
DISCA20170909,1.8598,23.2444,21.25,21.3846,-0.072373373481,-0.0091,-0.7543,-0.7634,-0.000428235294118,26.8175,24.5968,22.3145,21.646,32.6288,20.4633,16.5298,1504877400
CHUY20170909,3.4636,21.3743,18.0499992371,17.9107,0.0402180497345,-0.0687,-0.9229,-0.9916,-0.0038060943437,20.4461,21.9742,19.6425,18.43,5.8619,2.0833,5.4168,1504877400
QUIK20170909,0.6022,1.6696,1.64999997616,1.0674,0.967452633939,0.0486,0.022,0.0706,0.0294545458802,70.2255,1.3905,1.3685,1.608,90.2712,80.0,88.1046,1504877400
KS20170909,2.7658,23.3279,22.3500003815,20.5621,0.646431550173,0.0942,-0.0292,0.065,0.00421476502873,53.5547,21.9292,21.945,22.458,50.4224,78.9473,73.4869,1504877400
